pdbid,release_date
3FO4,2009-06-23T00:00:00+0000
3FO6,2009-06-23T00:00:00+0000
3FOZ,2009-01-20T00:00:00+0000
3FS0,2009-02-24T00:00:00+0000
3FTE,2009-03-24T00:00:00+0000
3FTF,2009-03-24T00:00:00+0000
3FTM,2009-02-24T00:00:00+0000
3FU2,2009-03-03T00:00:00+0000
3FWO,2010-01-19T00:00:00+0000
3G0H,2009-02-17T00:00:00+0000
3G4M,2009-06-23T00:00:00+0000
3G4S,2009-04-28T00:00:00+0000
3G6E,2009-04-28T00:00:00+0000
3G71,2009-04-28T00:00:00+0000
3G78,2010-02-16T00:00:00+0000
3G8S,2009-11-03T00:00:00+0000
3G8T,2009-11-03T00:00:00+0000
3G96,2009-11-03T00:00:00+0000
3G9C,2009-11-03T00:00:00+0000
3G9Y,2009-03-03T00:00:00+0000
3GAO,2009-06-23T00:00:00+0000
3GCA,2009-03-03T00:00:00+0000
3GER,2009-06-23T00:00:00+0000
3GES,2009-06-23T00:00:00+0000
3GIB,2009-11-17T00:00:00+0000
3GLP,2009-05-26T00:00:00+0000
3GM7,2009-05-26T00:00:00+0000
3GOG,2009-06-23T00:00:00+0000
3GOT,2009-06-23T00:00:00+0000
3GPQ,2009-07-21T00:00:00+0000
3GS1,2009-05-12T00:00:00+0000
3GS5,2009-04-21T00:00:00+0000
3GS8,2009-04-21T00:00:00+0000
3GTG,2009-06-09T00:00:00+0000
3GTJ,2009-06-09T00:00:00+0000
3GTL,2009-06-09T00:00:00+0000
3GTM,2009-06-09T00:00:00+0000
3GTO,2009-06-09T00:00:00+0000
3GTP,2009-06-09T00:00:00+0000
3GTQ,2009-06-09T00:00:00+0000
3GVN,2009-07-28T00:00:00+0000
3GX2,2010-01-12T00:00:00+0000
3GX3,2010-01-12T00:00:00+0000
3GX5,2010-01-12T00:00:00+0000
3GX6,2010-01-12T00:00:00+0000
3GX7,2010-01-12T00:00:00+0000
3H3V,2009-06-16T00:00:00+0000
3H5X,2009-05-19T00:00:00+0000
3H5Y,2009-05-19T00:00:00+0000
3HAX,2009-06-23T00:00:00+0000
3HAY,2009-06-23T00:00:00+0000
3HGA,2009-08-18T00:00:00+0000
3HHN,2009-11-24T00:00:00+0000
3HHZ,2009-07-28T00:00:00+0000
3HJF,2009-10-06T00:00:00+0000
3HJW,2009-06-23T00:00:00+0000
3HJY,2009-06-23T00:00:00+0000
3HK2,2009-10-06T00:00:00+0000
3HL2,2009-10-06T00:00:00+0000
3HM9,2009-10-06T00:00:00+0000
3HO1,2009-10-06T00:00:00+0000
3HOU,2009-07-28T00:00:00+0000
3HOV,2009-07-28T00:00:00+0000
3HOW,2009-07-28T00:00:00+0000
3HOX,2009-07-28T00:00:00+0000
3HOY,2009-07-28T00:00:00+0000
3HOZ,2009-07-28T00:00:00+0000
3HSB,2010-06-23T00:00:00+0000
3HTX,2009-09-29T00:00:00+0000
3HVR,2009-10-06T00:00:00+0000
3HXM,2009-10-06T00:00:00+0000
3I2Q,2009-11-03T00:00:00+0000
3I2R,2009-11-03T00:00:00+0000
3I2S,2009-11-03T00:00:00+0000
3I2U,2009-11-03T00:00:00+0000
3I4M,2009-09-08T00:00:00+0000
3I4N,2009-09-08T00:00:00+0000
3I55,2010-03-09T00:00:00+0000
3I56,2010-03-09T00:00:00+0000
3I5X,2009-09-08T00:00:00+0000
3I5Y,2009-09-08T00:00:00+0000
3I61,2009-09-08T00:00:00+0000
3I62,2009-09-08T00:00:00+0000
3IAB,2010-01-26T00:00:00+0000
3IBK,2010-05-12T00:00:00+0000
3ICE,2009-11-10T00:00:00+0000
3ICQ,2009-08-25T00:00:00+0000
3ID5,2009-08-25T00:00:00+0000
3IE1,2009-08-04T00:00:00+0000
3IEM,2010-07-28T00:00:00+0000
3IEV,2009-08-25T00:00:00+0000
3IGI,2009-12-22T00:00:00+0000
3IIN,2010-03-09T00:00:00+0000
3IQN,2010-08-04T00:00:00+0000
3IQP,2010-08-04T00:00:00+0000
3IQR,2010-08-04T00:00:00+0000
3IRW,2009-11-10T00:00:00+0000
3IVK,2010-03-02T00:00:00+0000
3IVN,2010-01-19T00:00:00+0000
3IWN,2009-11-10T00:00:00+0000
3IY8,2009-07-07T00:00:00+0000
3IY9,2009-07-07T00:00:00+0000
3IYQ,2010-10-20T00:00:00+0000
3IYR,2010-10-20T00:00:00+0000
3IZ4,2010-10-20T00:00:00+0000
3IZD,2010-12-01T00:00:00+0000
3IZY,2011-03-23T00:00:00+0000
3IZZ,2011-03-30T00:00:00+0000
3J06,2011-06-01T00:00:00+0000
3J0D,2012-04-25T00:00:00+0000
3J0E,2012-04-25T00:00:00+0000
3J0L,2011-11-16T00:00:00+0000
3J0O,2011-11-16T00:00:00+0000
3J0P,2011-11-16T00:00:00+0000
3J0Q,2011-11-16T00:00:00+0000
3J16,2012-02-22T00:00:00+0000
3J28,2013-01-16T00:00:00+0000
3J29,2013-01-16T00:00:00+0000
3J2A,2013-01-16T00:00:00+0000
3J2B,2013-01-16T00:00:00+0000
3J2C,2013-01-16T00:00:00+0000
3J2D,2013-01-16T00:00:00+0000
3J2E,2013-01-16T00:00:00+0000
3J2F,2013-01-16T00:00:00+0000
3J2G,2013-01-16T00:00:00+0000
3J2H,2013-01-16T00:00:00+0000
3J3V,2013-06-12T00:00:00+0000
3J3W,2013-06-12T00:00:00+0000
3J45,2013-10-23T00:00:00+0000
3J46,2013-10-23T00:00:00+0000
3J5L,2014-03-26T00:00:00+0000
3J5S,2014-01-08T00:00:00+0000
3J5Y,2013-12-25T00:00:00+0000
3J6B,2014-04-09T00:00:00+0000
3J6X,2014-06-11T00:00:00+0000
3J6Y,2014-06-11T00:00:00+0000
3J77,2014-08-06T00:00:00+0000
3J78,2014-08-06T00:00:00+0000
3J79,2014-07-16T00:00:00+0000
3J7A,2014-07-16T00:00:00+0000
3J7O,2014-09-03T00:00:00+0000
3J7P,2014-09-03T00:00:00+0000
3J7Q,2014-09-03T00:00:00+0000
3J7R,2014-09-03T00:00:00+0000
3J7Y,2014-10-15T00:00:00+0000
3J7Z,2014-10-22T00:00:00+0000
3J80,2014-11-05T00:00:00+0000
3J81,2014-11-05T00:00:00+0000
3J8G,2014-11-26T00:00:00+0000
3J92,2015-01-21T00:00:00+0000
3J9B,2015-02-18T00:00:00+0000
3J9M,2015-04-15T00:00:00+0000
3J9W,2015-04-29T00:00:00+0000
3J9Y,2015-04-15T00:00:00+0000
3J9Z,2015-07-01T00:00:00+0000
3JA1,2015-07-01T00:00:00+0000
3JAG,2015-08-12T00:00:00+0000
3JAH,2015-08-12T00:00:00+0000
3JAI,2015-08-12T00:00:00+0000
3JAJ,2015-08-05T00:00:00+0000
3JAM,2015-08-12T00:00:00+0000
3JAN,2015-08-05T00:00:00+0000
3JAP,2015-08-12T00:00:00+0000
3JB7,2015-10-28T00:00:00+0000
3JB9,2015-09-23T00:00:00+0000
3JBN,2015-10-14T00:00:00+0000
3JBO,2015-10-14T00:00:00+0000
3JBP,2015-10-14T00:00:00+0000
3JBU,2016-01-27T00:00:00+0000
3JBV,2016-01-27T00:00:00+0000
3JCD,2016-01-13T00:00:00+0000
3JCE,2016-01-13T00:00:00+0000
3JCJ,2016-03-09T00:00:00+0000
3JCM,2016-02-24T00:00:00+0000
3JCN,2016-03-09T00:00:00+0000
3JCR,2016-03-09T00:00:00+0000
3JCS,2016-07-20T00:00:00+0000
3JCT,2016-06-01T00:00:00+0000
3JD5,2016-07-13T00:00:00+0000
3JQ4,2010-09-08T00:00:00+0000
3JXQ,2010-02-09T00:00:00+0000
3JXR,2010-02-09T00:00:00+0000
3K0J,2009-12-22T00:00:00+0000
3K1V,2009-10-06T00:00:00+0000
3K49,2009-10-27T00:00:00+0000
3K4E,2009-10-27T00:00:00+0000
3K5Q,2009-11-03T00:00:00+0000
3K5Y,2009-11-03T00:00:00+0000
3K5Z,2009-11-03T00:00:00+0000
3K61,2009-11-03T00:00:00+0000
3K62,2009-11-03T00:00:00+0000
3K64,2009-11-03T00:00:00+0000
3KFU,2010-08-25T00:00:00+0000
3KLV,2010-07-07T00:00:00+0000
3KMQ,2010-07-07T00:00:00+0000
3KMS,2010-07-07T00:00:00+0000
3KNA,2010-07-07T00:00:00+0000
3KNC,2010-12-08T00:00:00+0000
3KOA,2010-07-07T00:00:00+0000
3KS8,2010-01-12T00:00:00+0000
3KTV,2010-02-16T00:00:00+0000
3KTW,2010-02-16T00:00:00+0000
3L0U,2010-03-16T00:00:00+0000
3L25,2010-01-26T00:00:00+0000
3L26,2010-01-26T00:00:00+0000
3L3C,2009-12-29T00:00:00+0000
3LA5,2010-01-26T00:00:00+0000
3LOA,2010-08-04T00:00:00+0000
3LOB,2010-04-21T00:00:00+0000
3LQX,2010-03-02T00:00:00+0000
3LRN,2010-06-02T00:00:00+0000
3LRR,2010-06-02T00:00:00+0000
3LWO,2010-07-14T00:00:00+0000
3LWP,2010-07-14T00:00:00+0000
3LWQ,2010-07-14T00:00:00+0000
3LWR,2010-07-14T00:00:00+0000
3LWV,2010-07-14T00:00:00+0000
3M3Y,2010-05-12T00:00:00+0000
3M4O,2010-05-12T00:00:00+0000
3M7N,2010-04-28T00:00:00+0000
3M85,2010-04-28T00:00:00+0000
3MDG,2010-06-02T00:00:00+0000
3MDI,2010-06-02T00:00:00+0000
3MEI,2011-01-26T00:00:00+0000
3MIJ,2011-02-16T00:00:00+0000
3MJ0,2011-05-25T00:00:00+0000
3MJ3,2010-05-19T00:00:00+0000
3MJA,2010-05-19T00:00:00+0000
3MJB,2010-05-19T00:00:00+0000
3MOJ,2010-08-04T00:00:00+0000
3MQK,2010-12-29T00:00:00+0000
3MUM,2010-08-25T00:00:00+0000
3MUR,2010-08-25T00:00:00+0000
3MUT,2010-08-25T00:00:00+0000
3MUV,2010-08-25T00:00:00+0000
3MXH,2010-08-25T00:00:00+0000
3NCU,2010-06-30T00:00:00+0000
3ND3,2011-09-21T00:00:00+0000
3ND4,2011-09-21T00:00:00+0000
3NDB,2011-02-23T00:00:00+0000
3NJ6,2010-08-25T00:00:00+0000
3NJ7,2010-08-25T00:00:00+0000
3NKB,2010-09-01T00:00:00+0000
3NL0,2011-07-13T00:00:00+0000
3NMA,2011-05-25T00:00:00+0000
3NMR,2010-10-27T00:00:00+0000
3NMU,2011-05-25T00:00:00+0000
3NNA,2010-10-27T00:00:00+0000
3NNC,2010-10-27T00:00:00+0000
3NNH,2010-10-27T00:00:00+0000
3NPN,2010-10-06T00:00:00+0000
3NPQ,2010-10-06T00:00:00+0000
3NVI,2011-07-20T00:00:00+0000
3NVK,2011-07-20T00:00:00+0000
3O3I,2011-01-12T00:00:00+0000
3O6E,2011-01-12T00:00:00+0000
3O7V,2011-01-12T00:00:00+0000
3O8C,2011-01-05T00:00:00+0000
3O8R,2011-01-05T00:00:00+0000
3OG8,2010-11-03T00:00:00+0000
3OIJ,2010-12-01T00:00:00+0000
3OIN,2010-12-01T00:00:00+0000
3OK2,2011-11-30T00:00:00+0000
3OK4,2011-11-30T00:00:00+0000
3OL6,2010-12-22T00:00:00+0000
3OL7,2010-12-22T00:00:00+0000
3OL8,2010-12-22T00:00:00+0000
3OL9,2010-12-22T00:00:00+0000
3OLA,2010-12-22T00:00:00+0000
3OLB,2010-12-22T00:00:00+0000
3OTO,2010-09-29T00:00:00+0000
3OUY,2010-12-01T00:00:00+0000
3OV7,2010-12-01T00:00:00+0000
3OVA,2010-12-01T00:00:00+0000
3OVB,2010-12-01T00:00:00+0000
3OVS,2010-12-01T00:00:00+0000
3OW2,2012-06-20T00:00:00+0000
3OWI,2010-12-29T00:00:00+0000
3OWW,2010-12-29T00:00:00+0000
3OWZ,2010-12-29T00:00:00+0000
3OX0,2010-12-29T00:00:00+0000
3OXB,2010-12-29T00:00:00+0000
3OXD,2010-12-29T00:00:00+0000
3OXE,2010-12-29T00:00:00+0000
3OXJ,2010-12-29T00:00:00+0000
3OXM,2010-12-29T00:00:00+0000
3P22,2010-12-08T00:00:00+0000
3P49,2011-04-06T00:00:00+0000
3P4A,2011-01-05T00:00:00+0000
3P4B,2011-01-05T00:00:00+0000
3P4C,2011-01-05T00:00:00+0000
3P4D,2011-01-05T00:00:00+0000
3P59,2011-04-06T00:00:00+0000
3P6Y,2010-11-03T00:00:00+0000
3PDM,2011-01-12T00:00:00+0000
3PDR,2011-02-23T00:00:00+0000
3PEW,2011-03-23T00:00:00+0000
3PEY,2011-03-23T00:00:00+0000
3PF4,2011-09-21T00:00:00+0000
3PF5,2011-09-21T00:00:00+0000
3PGW,2010-12-29T00:00:00+0000
3PHP,1998-10-21T00:00:00+0000
3PIO,2011-02-23T00:00:00+0000
3PIP,2011-02-23T00:00:00+0000
3PKM,2011-03-09T00:00:00+0000
3PLA,2011-01-26T00:00:00+0000
3PO2,2011-03-02T00:00:00+0000
3PO3,2011-03-02T00:00:00+0000
3PTX,2011-01-12T00:00:00+0000
3PU0,2011-01-12T00:00:00+0000
3PU1,2011-01-12T00:00:00+0000
3PU4,2011-01-12T00:00:00+0000
3Q0L,2011-03-16T00:00:00+0000
3Q0M,2011-03-16T00:00:00+0000
3Q0N,2011-03-16T00:00:00+0000
3Q0O,2011-03-16T00:00:00+0000
3Q0P,2011-03-16T00:00:00+0000
3Q0Q,2011-03-16T00:00:00+0000
3Q0R,2011-03-16T00:00:00+0000
3Q0S,2011-03-16T00:00:00+0000
3Q1Q,2011-03-09T00:00:00+0000
3Q1R,2011-03-09T00:00:00+0000
3Q2T,2011-02-16T00:00:00+0000
3Q3Z,2011-05-11T00:00:00+0000
3Q50,2011-05-18T00:00:00+0000
3Q51,2011-05-18T00:00:00+0000
3QG9,2011-03-23T00:00:00+0000
3QGB,2011-03-23T00:00:00+0000
3QGC,2011-03-23T00:00:00+0000
3QJJ,2012-02-08T00:00:00+0000
3QJL,2012-02-08T00:00:00+0000
3QJP,2012-02-08T00:00:00+0000
3QRP,2011-05-25T00:00:00+0000
3QRR,2011-05-25T00:00:00+0000
3QSU,2012-09-12T00:00:00+0000
3QSY,2012-03-21T00:00:00+0000
3R1C,2011-06-01T00:00:00+0000
3R1D,2011-06-01T00:00:00+0000
3R1E,2011-06-01T00:00:00+0000
3R1H,2011-08-31T00:00:00+0000
3R1L,2011-08-31T00:00:00+0000
3R2C,2011-06-22T00:00:00+0000
3R2D,2011-06-22T00:00:00+0000
3R4F,2011-04-20T00:00:00+0000
3R9W,2011-06-22T00:00:00+0000
3R9X,2011-06-22T00:00:00+0000
3RC8,2011-05-11T00:00:00+0000
3RER,2011-10-19T00:00:00+0000
3RG5,2011-06-08T00:00:00+0000
3RKF,2011-08-17T00:00:00+0000
3RTJ,2011-08-31T00:00:00+0000
3RW6,2011-08-10T00:00:00+0000
3RZD,2011-08-10T00:00:00+0000
3RZO,2011-08-10T00:00:00+0000
3S14,2011-08-10T00:00:00+0000
3S15,2011-08-10T00:00:00+0000
3S16,2011-08-10T00:00:00+0000
3S17,2011-08-10T00:00:00+0000
3S1M,2011-08-10T00:00:00+0000
3S1N,2011-08-10T00:00:00+0000
3S1Q,2011-08-10T00:00:00+0000
3S1R,2011-08-10T00:00:00+0000
3S2D,2011-08-10T00:00:00+0000
3S2H,2011-08-17T00:00:00+0000
3S49,2011-06-29T00:00:00+0000
3S4G,2011-08-03T00:00:00+0000
3S4P,2011-09-21T00:00:00+0000
3S7C,2012-04-11T00:00:00+0000
3S8U,2012-04-11T00:00:00+0000
3SD3,2011-09-21T00:00:00+0000
3SIU,2011-08-10T00:00:00+0000
3SIV,2011-08-10T00:00:00+0000
3SJ2,2011-08-03T00:00:00+0000
3SKI,2011-08-17T00:00:00+0000
3SKL,2011-08-17T00:00:00+0000
3SKR,2011-08-17T00:00:00+0000
3SKT,2011-08-17T00:00:00+0000
3SKW,2011-08-17T00:00:00+0000
3SKZ,2011-08-17T00:00:00+0000
3SLM,2011-08-17T00:00:00+0000
3SLQ,2011-08-17T00:00:00+0000
3SN2,2011-11-23T00:00:00+0000
3SNP,2011-07-27T00:00:00+0000
3SQW,2011-10-12T00:00:00+0000
3SQX,2011-10-12T00:00:00+0000
3SSF,2012-02-08T00:00:00+0000
3SUH,2011-09-14T00:00:00+0000
3SUX,2011-09-14T00:00:00+0000
3SUY,2011-09-14T00:00:00+0000
3SYW,2012-04-25T00:00:00+0000
3SZX,2012-04-25T00:00:00+0000
3T1H,2012-01-25T00:00:00+0000
3T1Y,2012-01-25T00:00:00+0000
3T3N,2011-10-19T00:00:00+0000
3T3O,2011-10-19T00:00:00+0000
3T4B,2011-10-12T00:00:00+0000
3T5N,2012-01-11T00:00:00+0000
3T5Q,2012-01-11T00:00:00+0000
3TD0,2011-12-07T00:00:00+0000
3TD1,2011-12-07T00:00:00+0000
3TRA,1987-11-06T00:00:00+0000
3TRZ,2011-11-16T00:00:00+0000
3TS0,2011-11-16T00:00:00+0000
3TS2,2011-11-16T00:00:00+0000
3TUP,2011-11-23T00:00:00+0000
3TWH,2012-10-03T00:00:00+0000
3TZR,2012-03-21T00:00:00+0000
3U2E,2011-10-12T00:00:00+0000
3U4M,2012-08-08T00:00:00+0000
3U56,2012-10-31T00:00:00+0000
3UCU,2012-01-04T00:00:00+0000
3UCZ,2012-01-04T00:00:00+0000
3UD3,2012-01-04T00:00:00+0000
3UD4,2012-01-04T00:00:00+0000
3ULD,2012-11-14T00:00:00+0000
3UMY,2012-10-31T00:00:00+0000
3UZS,2012-07-11T00:00:00+0000
3UZT,2012-07-11T00:00:00+0000
3V11,2012-03-28T00:00:00+0000
3V6Y,2012-01-04T00:00:00+0000
3V71,2012-01-04T00:00:00+0000
3V74,2012-01-04T00:00:00+0000
3V7E,2012-03-07T00:00:00+0000
3VJR,2012-09-12T00:00:00+0000
3VNU,2012-08-08T00:00:00+0000
3VNV,2012-08-08T00:00:00+0000
3VRS,2012-05-09T00:00:00+0000
3VYX,2013-02-13T00:00:00+0000
3VYY,2013-02-13T00:00:00+0000
3W1K,2013-06-05T00:00:00+0000
3W3S,2013-02-13T00:00:00+0000
3WBM,2013-12-11T00:00:00+0000
3WC1,2013-12-18T00:00:00+0000
3WC2,2013-12-18T00:00:00+0000
3WFQ,2014-01-01T00:00:00+0000
3WFR,2014-01-01T00:00:00+0000
3WFS,2014-01-01T00:00:00+0000
3WQY,2014-06-18T00:00:00+0000
3WQZ,2014-06-18T00:00:00+0000
3WRU,2014-11-05T00:00:00+0000
3WZI,2015-07-15T00:00:00+0000
3X1L,2015-05-13T00:00:00+0000
3ZC0,2013-01-23T00:00:00+0000
3ZD4,2012-12-12T00:00:00+0000
3ZD5,2012-12-12T00:00:00+0000
3ZD6,2013-08-07T00:00:00+0000
3ZD7,2013-08-07T00:00:00+0000
3ZGZ,2013-01-30T00:00:00+0000
3ZJT,2013-04-17T00:00:00+0000
3ZJU,2013-04-17T00:00:00+0000
3ZJV,2013-04-17T00:00:00+0000
3ZLA,2013-05-01T00:00:00+0000
3ZN8,2013-03-06T00:00:00+0000
3ZP8,2013-03-06T00:00:00+0000
402D,1998-06-16T00:00:00+0000
404D,1998-12-14T00:00:00+0000
405D,1999-01-13T00:00:00+0000
406D,1999-02-05T00:00:00+0000
409D,1999-01-13T00:00:00+0000
413D,1998-07-10T00:00:00+0000
420D,1999-01-13T00:00:00+0000
421D,1999-01-05T00:00:00+0000
422D,2003-06-03T00:00:00+0000
429D,1999-03-01T00:00:00+0000
430D,1998-10-07T00:00:00+0000
433D,1998-12-04T00:00:00+0000
434D,1999-06-14T00:00:00+0000
435D,1999-06-14T00:00:00+0000
437D,1998-12-03T00:00:00+0000
438D,1999-05-12T00:00:00+0000
439D,2001-09-14T00:00:00+0000
462D,1999-12-02T00:00:00+0000
464D,1999-08-16T00:00:00+0000
466D,1999-08-16T00:00:00+0000
468D,1999-05-12T00:00:00+0000
469D,1999-05-12T00:00:00+0000
470D,1999-05-12T00:00:00+0000
471D,1999-05-12T00:00:00+0000
472D,2000-11-27T00:00:00+0000
479D,2000-05-15T00:00:00+0000
480D,1999-10-08T00:00:00+0000
483D,1999-10-08T00:00:00+0000
484D,1999-10-14T00:00:00+0000
486D,1999-10-04T00:00:00+0000
488D,2000-03-06T00:00:00+0000
4A2I,2011-11-02T00:00:00+0000
4A2X,2011-10-19T00:00:00+0000
4A36,2011-10-19T00:00:00+0000
4A3B,2011-12-07T00:00:00+0000
4A3C,2011-11-16T00:00:00+0000
4A3D,2011-12-07T00:00:00+0000
4A3E,2011-12-07T00:00:00+0000
4A3F,2011-12-07T00:00:00+0000
4A3G,2012-02-08T00:00:00+0000
4A3J,2011-12-07T00:00:00+0000
4A3K,2011-12-07T00:00:00+0000
4A3L,2011-12-07T00:00:00+0000
4A3M,2011-12-07T00:00:00+0000
4A4R,2012-05-30T00:00:00+0000
4A4S,2012-05-30T00:00:00+0000
4A4T,2012-05-30T00:00:00+0000
4A4U,2012-05-30T00:00:00+0000
4A93,2012-03-21T00:00:00+0000
4ADV,2012-02-15T00:00:00+0000
4ADX,2012-02-08T00:00:00+0000
4AFY,2013-01-09T00:00:00+0000
4AL5,2012-06-13T00:00:00+0000
4AL6,2012-06-13T00:00:00+0000
4AL7,2012-06-13T00:00:00+0000
4ALP,2012-09-05T00:00:00+0000
4AM3,2012-04-18T00:00:00+0000
4ANG,2013-02-27T00:00:00+0000
4AOB,2012-05-09T00:00:00+0000
4AQ7,2012-06-13T00:00:00+0000
4AQY,2012-07-18T00:00:00+0000
4ARC,2012-06-13T00:00:00+0000
4ARI,2012-06-13T00:00:00+0000
4AS1,2012-06-13T00:00:00+0000
4ATO,2012-12-26T00:00:00+0000
4AY2,2012-10-03T00:00:00+0000
4B3G,2012-09-26T00:00:00+0000
4B3M,2013-08-07T00:00:00+0000
4B3O,2013-01-16T00:00:00+0000
4B3P,2013-01-16T00:00:00+0000
4B3Q,2013-01-16T00:00:00+0000
4B3R,2013-08-07T00:00:00+0000
4B3S,2013-08-07T00:00:00+0000
4B3T,2013-08-07T00:00:00+0000
4B5R,2013-01-30T00:00:00+0000
4B8T,2012-11-07T00:00:00+0000
4BA2,2012-10-03T00:00:00+0000
4BBL,2012-12-05T00:00:00+0000
4BBS,2012-11-14T00:00:00+0000
4BHH,2013-04-24T00:00:00+0000
4BKK,2013-10-30T00:00:00+0000
4BOC,2013-09-25T00:00:00+0000
4BPB,2013-06-19T00:00:00+0000
4BS2,2013-11-13T00:00:00+0000
4BTS,2013-07-17T00:00:00+0000
4BW0,2013-11-06T00:00:00+0000
4BWM,2013-09-18T00:00:00+0000
4BXX,2013-09-11T00:00:00+0000
4BY1,2013-09-11T00:00:00+0000
4BY7,2013-09-11T00:00:00+0000
4BY9,2013-10-09T00:00:00+0000
4C40,2013-11-06T00:00:00+0000
4C4Q,2013-10-30T00:00:00+0000
4C4W,2014-02-12T00:00:00+0000
4C7O,2013-11-20T00:00:00+0000
4C8Y,2013-11-06T00:00:00+0000
4C8Z,2013-11-06T00:00:00+0000
4C9D,2013-11-06T00:00:00+0000
4CE4,2013-12-18T00:00:00+0000
4CIO,2014-09-03T00:00:00+0000
4CQN,2014-07-02T00:00:00+0000
4CS1,2014-11-19T00:00:00+0000
4CSF,2014-04-09T00:00:00+0000
4CSU,2014-06-04T00:00:00+0000
4CXG,2014-07-16T00:00:00+0000
4CXH,2014-07-16T00:00:00+0000
4D25,2014-06-18T00:00:00+0000
4D26,2014-06-18T00:00:00+0000
4D5L,2015-02-04T00:00:00+0000
4D5N,2015-02-04T00:00:00+0000
4D5Y,2015-03-04T00:00:00+0000
4D61,2015-03-04T00:00:00+0000
4D67,2015-03-04T00:00:00+0000
4DB2,2012-08-29T00:00:00+0000
4DR1,2012-11-14T00:00:00+0000
4DR2,2012-11-14T00:00:00+0000
4DR3,2012-11-14T00:00:00+0000
4DR4,2012-11-14T00:00:00+0000
4DR5,2012-11-14T00:00:00+0000
4DR6,2012-11-14T00:00:00+0000
4DR7,2012-11-14T00:00:00+0000
4DS6,2012-04-18T00:00:00+0000
4DUY,2013-02-27T00:00:00+0000
4DUZ,2013-02-27T00:00:00+0000
4DV0,2013-02-27T00:00:00+0000
4DV1,2013-02-27T00:00:00+0000
4DV2,2013-02-27T00:00:00+0000
4DV3,2013-02-27T00:00:00+0000
4DV4,2013-02-27T00:00:00+0000
4DV5,2013-02-27T00:00:00+0000
4DV6,2013-02-27T00:00:00+0000
4DV7,2013-02-27T00:00:00+0000
4DW7,2012-05-23T00:00:00+0000
4DWA,2012-05-23T00:00:00+0000
4DZS,2012-04-25T00:00:00+0000
4E48,2012-07-11T00:00:00+0000
4E58,2012-12-12T00:00:00+0000
4E59,2012-12-12T00:00:00+0000
4E5C,2012-07-11T00:00:00+0000
4E6B,2012-07-11T00:00:00+0000
4E78,2012-04-18T00:00:00+0000
4E8K,2012-11-14T00:00:00+0000
4E8M,2012-11-14T00:00:00+0000
4E8N,2012-11-14T00:00:00+0000
4E8P,2012-11-14T00:00:00+0000
4E8Q,2012-11-14T00:00:00+0000
4E8R,2012-11-14T00:00:00+0000
4E8T,2012-11-14T00:00:00+0000
4E8V,2012-11-14T00:00:00+0000
4ED5,2012-05-23T00:00:00+0000
4EJT,2013-06-05T00:00:00+0000
4EN5,2012-05-09T00:00:00+0000
4ENA,2012-05-09T00:00:00+0000
4ENB,2012-05-09T00:00:00+0000
4ENC,2012-05-09T00:00:00+0000
4ERD,2012-06-20T00:00:00+0000
4ERJ,2012-07-18T00:00:00+0000
4ERL,2012-07-18T00:00:00+0000
4EYA,2012-06-20T00:00:00+0000
4F02,2012-08-08T00:00:00+0000
4F1N,2012-06-13T00:00:00+0000
4F3T,2012-05-30T00:00:00+0000
4F8U,2012-08-15T00:00:00+0000
4F8V,2012-08-15T00:00:00+0000
4FAQ,2012-11-14T00:00:00+0000
4FAR,2012-11-14T00:00:00+0000
4FAU,2012-11-14T00:00:00+0000
4FAW,2012-11-14T00:00:00+0000
4FAX,2012-11-14T00:00:00+0000
4FB0,2012-11-14T00:00:00+0000
4FE5,2012-06-27T00:00:00+0000
4FEJ,2013-02-27T00:00:00+0000
4FEL,2013-02-27T00:00:00+0000
4FEN,2013-02-27T00:00:00+0000
4FEO,2013-02-27T00:00:00+0000
4FEP,2013-02-27T00:00:00+0000
4FNJ,2012-10-17T00:00:00+0000
4FRG,2012-10-17T00:00:00+0000
4FRN,2012-10-17T00:00:00+0000
4FSJ,2012-08-01T00:00:00+0000
4FTB,2012-08-01T00:00:00+0000
4FTE,2012-08-01T00:00:00+0000
4FTS,2012-08-01T00:00:00+0000
4FVU,2012-09-19T00:00:00+0000
4FWT,2012-08-08T00:00:00+0000
4FXD,2013-02-27T00:00:00+0000
4G0A,2012-08-22T00:00:00+0000
4G6P,2012-08-15T00:00:00+0000
4G6R,2012-08-15T00:00:00+0000
4G6S,2012-08-08T00:00:00+0000
4G7O,2012-10-31T00:00:00+0000
4G9Z,2013-04-03T00:00:00+0000
4GCW,2012-10-31T00:00:00+0000
4GG4,2012-10-03T00:00:00+0000
4GHA,2012-08-22T00:00:00+0000
4GHL,2012-11-28T00:00:00+0000
4GKJ,2013-06-05T00:00:00+0000
4GKK,2013-06-05T00:00:00+0000
4GL2,2013-01-09T00:00:00+0000
4GMA,2012-10-17T00:00:00+0000
4GPW,2013-04-03T00:00:00+0000
4GPX,2013-04-03T00:00:00+0000
4GPY,2013-04-03T00:00:00+0000
4GV3,2013-05-01T00:00:00+0000
4GV6,2013-05-01T00:00:00+0000
4GV9,2013-05-01T00:00:00+0000
4GXY,2012-10-17T00:00:00+0000
4GZY,2013-02-13T00:00:00+0000
4GZZ,2013-02-13T00:00:00+0000
4H5O,2012-11-07T00:00:00+0000
4H5P,2012-11-07T00:00:00+0000
4H8K,2013-09-25T00:00:00+0000
